lambda,size_counts
0.8745,"{824877.0: 1.0, 2.0: 5742.0, 3.0: 1152.0, 1.0: 149056.0, 5.0: 145.0, 4.0: 1939.0, 18.0: 2.0, 9.0: 182.0, 10.0: 8.0, 6.0: 50.0, 7.0: 25.0, 25.0: 1.0, 8.0: 14.0, 11.0: 4.0, 12.0: 3.0, 24.0: 1.0, 16.0: 1.0, 22.0: 1.0, 19.0: 1.0, 47.0: 1.0, 20.0: 1.0, 14.0: 1.0, 21.0: 1.0, 17.0: 1.0}"
0.8745,"{820322.0: 1.0, 1.0: 153808.0, 2.0: 5809.0, 6.0: 62.0, 5.0: 135.0, 4.0: 1876.0, 9.0: 179.0, 3.0: 1119.0, 7.0: 26.0, 66.0: 1.0, 10.0: 5.0, 45.0: 1.0, 8.0: 16.0, 20.0: 1.0, 47.0: 1.0, 13.0: 1.0, 19.0: 1.0, 14.0: 1.0, 11.0: 3.0, 12.0: 4.0, 15.0: 1.0, 21.0: 1.0, 16.0: 2.0}"
0.8745,"{817155.0: 1.0, 3.0: 1154.0, 1.0: 156213.0, 2.0: 5925.0, 4.0: 1926.0, 9.0: 180.0, 8.0: 14.0, 6.0: 48.0, 7.0: 27.0, 27.0: 1.0, 5.0: 164.0, 49.0: 1.0, 11.0: 3.0, 21.0: 2.0, 13.0: 6.0, 20.0: 1.0, 15.0: 1.0, 16.0: 1.0, 10.0: 8.0, 30.0: 1.0, 36.0: 1.0, 24.0: 1.0, 12.0: 2.0, 19.0: 2.0, 47.0: 1.0, 14.0: 2.0}"
0.8745,"{816848.0: 1.0, 2.0: 5931.0, 1.0: 156220.0, 54.0: 1.0, 3.0: 1213.0, 9.0: 182.0, 4.0: 1941.0, 7.0: 33.0, 5.0: 142.0, 6.0: 51.0, 8.0: 15.0, 17.0: 2.0, 13.0: 4.0, 10.0: 6.0, 18.0: 1.0, 20.0: 1.0, 34.0: 2.0, 14.0: 3.0, 11.0: 6.0, 19.0: 2.0, 43.0: 1.0, 16.0: 1.0, 36.0: 1.0, 15.0: 2.0, 12.0: 4.0, 37.0: 1.0}"
0.8745,"{824917.0: 1.0, 2.0: 5690.0, 3.0: 1080.0, 1.0: 149193.0, 7.0: 23.0, 4.0: 1926.0, 8.0: 17.0, 17.0: 2.0, 6.0: 58.0, 9.0: 181.0, 5.0: 145.0, 28.0: 1.0, 24.0: 1.0, 11.0: 7.0, 10.0: 13.0, 21.0: 2.0, 19.0: 1.0, 23.0: 2.0, 12.0: 3.0, 18.0: 2.0, 27.0: 1.0, 20.0: 2.0, 14.0: 2.0}"
0.8745,"{816895.0: 1.0, 1.0: 155907.0, 2.0: 6091.0, 4.0: 1928.0, 3.0: 1154.0, 9.0: 177.0, 7.0: 26.0, 5.0: 153.0, 6.0: 57.0, 57.0: 1.0, 20.0: 2.0, 8.0: 13.0, 11.0: 3.0, 19.0: 2.0, 26.0: 2.0, 10.0: 4.0, 17.0: 2.0, 47.0: 1.0, 14.0: 1.0, 16.0: 1.0, 13.0: 4.0, 12.0: 4.0, 15.0: 1.0, 55.0: 1.0, 233.0: 1.0, 31.0: 1.0, 33.0: 1.0, 18.0: 1.0}"
0.8745,"{817304.0: 1.0, 1.0: 156162.0, 2.0: 5903.0, 3.0: 1123.0, 4.0: 1950.0, 9.0: 175.0, 5.0: 142.0, 6.0: 52.0, 51.0: 1.0, 8.0: 14.0, 7.0: 30.0, 12.0: 4.0, 11.0: 8.0, 19.0: 3.0, 16.0: 2.0, 10.0: 8.0, 36.0: 1.0, 18.0: 4.0, 44.0: 1.0, 13.0: 2.0, 15.0: 2.0, 26.0: 1.0, 22.0: 1.0, 14.0: 2.0}"
0.8745,"{816057.0: 1.0, 2.0: 6163.0, 1.0: 156747.0, 9.0: 174.0, 4.0: 1916.0, 3.0: 1184.0, 5.0: 148.0, 6.0: 58.0, 10.0: 8.0, 18.0: 3.0, 7.0: 40.0, 43.0: 1.0, 17.0: 3.0, 11.0: 5.0, 23.0: 1.0, 15.0: 2.0, 51.0: 1.0, 39.0: 1.0, 8.0: 18.0, 13.0: 3.0, 32.0: 1.0, 27.0: 1.0, 12.0: 3.0, 16.0: 1.0}"
0.8745,"{1.0: 155983.0, 816897.0: 1.0, 8.0: 29.0, 2.0: 6003.0, 5.0: 149.0, 4.0: 1882.0, 85.0: 1.0, 3.0: 1224.0, 9.0: 182.0, 14.0: 2.0, 34.0: 1.0, 6.0: 64.0, 10.0: 8.0, 29.0: 2.0, 7.0: 28.0, 39.0: 1.0, 20.0: 2.0, 11.0: 4.0, 12.0: 4.0, 46.0: 1.0, 13.0: 1.0, 24.0: 1.0, 16.0: 1.0, 17.0: 1.0, 112.0: 1.0, 35.0: 1.0}"
0.8745,"{817323.0: 1.0, 2.0: 5876.0, 1.0: 156105.0, 3.0: 1163.0, 4.0: 1948.0, 9.0: 181.0, 8.0: 22.0, 5.0: 164.0, 53.0: 1.0, 6.0: 58.0, 17.0: 2.0, 11.0: 2.0, 12.0: 3.0, 7.0: 24.0, 15.0: 1.0, 10.0: 8.0, 22.0: 1.0, 18.0: 2.0, 42.0: 1.0, 19.0: 1.0, 23.0: 1.0, 16.0: 1.0}"
0.8745,"{817082.0: 1.0, 1.0: 155659.0, 2.0: 6069.0, 3.0: 1131.0, 4.0: 1924.0, 9.0: 175.0, 5.0: 162.0, 6.0: 51.0, 7.0: 39.0, 11.0: 5.0, 8.0: 15.0, 21.0: 4.0, 30.0: 3.0, 12.0: 2.0, 16.0: 4.0, 37.0: 1.0, 59.0: 1.0, 26.0: 1.0, 13.0: 1.0, 14.0: 3.0, 22.0: 1.0, 23.0: 2.0, 15.0: 3.0, 10.0: 8.0, 41.0: 1.0, 28.0: 1.0, 20.0: 1.0, 42.0: 1.0, 44.0: 1.0, 50.0: 1.0, 36.0: 1.0}"
0.8745,"{814997.0: 1.0, 1.0: 157622.0, 2.0: 6029.0, 3.0: 1185.0, 4.0: 1928.0, 5.0: 151.0, 9.0: 184.0, 7.0: 35.0, 6.0: 67.0, 10.0: 8.0, 8.0: 11.0, 25.0: 2.0, 33.0: 2.0, 12.0: 5.0, 16.0: 1.0, 26.0: 2.0, 11.0: 4.0, 15.0: 2.0, 14.0: 2.0, 21.0: 1.0, 35.0: 2.0, 13.0: 2.0, 23.0: 1.0, 73.0: 1.0, 38.0: 1.0, 50.0: 1.0, 94.0: 1.0, 89.0: 1.0}"
0.8745,"{804373.0: 1.0, 1.0: 166930.0, 2.0: 6465.0, 4.0: 1869.0, 3.0: 1299.0, 5.0: 174.0, 7.0: 26.0, 9.0: 175.0, 10.0: 5.0, 6.0: 55.0, 8.0: 27.0, 16.0: 1.0, 37.0: 1.0, 13.0: 3.0, 30.0: 1.0, 22.0: 2.0, 11.0: 6.0, 177.0: 1.0, 18.0: 1.0, 28.0: 1.0, 20.0: 4.0, 62.0: 1.0, 38.0: 1.0, 14.0: 2.0, 17.0: 3.0, 36.0: 1.0, 90.0: 1.0, 52.0: 1.0, 12.0: 2.0, 108.0: 1.0, 97.0: 1.0, 27.0: 1.0, 23.0: 1.0}"
0.8745,"{819905.0: 1.0, 2.0: 5791.0, 1.0: 153692.0, 3.0: 1126.0, 9.0: 183.0, 4.0: 1943.0, 5.0: 155.0, 8.0: 19.0, 18.0: 4.0, 6.0: 56.0, 11.0: 3.0, 13.0: 5.0, 7.0: 23.0, 12.0: 4.0, 63.0: 1.0, 28.0: 1.0, 23.0: 2.0, 14.0: 2.0, 10.0: 3.0, 22.0: 1.0, 42.0: 1.0, 21.0: 1.0, 16.0: 1.0, 33.0: 1.0, 53.0: 1.0}"
0.8745,"{821409.0: 1.0, 1.0: 151881.0, 9.0: 162.0, 2.0: 5903.0, 4.0: 1903.0, 3.0: 1177.0, 5.0: 143.0, 6.0: 70.0, 7.0: 32.0, 10.0: 5.0, 15.0: 1.0, 8.0: 14.0, 11.0: 5.0, 32.0: 1.0, 14.0: 2.0, 13.0: 4.0, 12.0: 3.0, 21.0: 1.0, 17.0: 3.0, 16.0: 2.0, 25.0: 1.0, 40.0: 1.0, 46.0: 1.0, 91.0: 1.0, 27.0: 1.0, 24.0: 2.0, 56.0: 1.0, 39.0: 1.0, 20.0: 1.0, 33.0: 1.0, 35.0: 1.0}"
0.8745,"{803578.0: 1.0, 1.0: 167742.0, 4.0: 1855.0, 3.0: 1324.0, 2.0: 6534.0, 9.0: 166.0, 6.0: 81.0, 5.0: 146.0, 7.0: 37.0, 8.0: 17.0, 10.0: 4.0, 16.0: 2.0, 17.0: 2.0, 13.0: 4.0, 18.0: 1.0, 42.0: 1.0, 21.0: 3.0, 12.0: 1.0, 37.0: 1.0, 46.0: 2.0, 14.0: 3.0, 25.0: 3.0, 24.0: 1.0, 32.0: 1.0, 22.0: 1.0, 50.0: 1.0, 11.0: 3.0, 117.0: 1.0, 26.0: 1.0, 27.0: 1.0, 94.0: 1.0, 48.0: 1.0, 84.0: 1.0, 19.0: 1.0}"
0.8745,"{821389.0: 1.0, 1.0: 152108.0, 9.0: 159.0, 2.0: 5979.0, 4.0: 1915.0, 3.0: 1121.0, 6.0: 70.0, 5.0: 147.0, 7.0: 23.0, 11.0: 5.0, 8.0: 14.0, 15.0: 2.0, 18.0: 2.0, 12.0: 7.0, 16.0: 2.0, 17.0: 3.0, 13.0: 3.0, 26.0: 1.0, 42.0: 1.0, 40.0: 1.0, 28.0: 1.0, 24.0: 1.0, 45.0: 1.0, 27.0: 1.0, 34.0: 1.0, 35.0: 2.0}"
0.8745,"{821560.0: 1.0, 1.0: 152197.0, 9.0: 161.0, 2.0: 5890.0, 4.0: 1890.0, 3.0: 1177.0, 7.0: 25.0, 5.0: 143.0, 6.0: 55.0, 8.0: 13.0, 14.0: 2.0, 10.0: 4.0, 11.0: 2.0, 13.0: 2.0, 19.0: 2.0, 12.0: 5.0, 26.0: 1.0, 40.0: 1.0, 38.0: 3.0, 17.0: 1.0, 29.0: 1.0, 23.0: 1.0, 42.0: 1.0, 20.0: 1.0, 27.0: 1.0, 15.0: 1.0, 32.0: 1.0}"
0.8745,"{803952.0: 1.0, 2.0: 6532.0, 1.0: 167449.0, 4.0: 1907.0, 3.0: 1330.0, 5.0: 158.0, 10.0: 3.0, 9.0: 162.0, 6.0: 66.0, 17.0: 2.0, 8.0: 14.0, 7.0: 27.0, 11.0: 5.0, 13.0: 5.0, 14.0: 3.0, 20.0: 2.0, 40.0: 1.0, 12.0: 2.0, 37.0: 2.0, 42.0: 1.0, 19.0: 1.0, 15.0: 2.0, 21.0: 1.0, 24.0: 1.0, 43.0: 1.0, 49.0: 1.0, 122.0: 1.0, 27.0: 1.0, 29.0: 1.0, 28.0: 1.0, 25.0: 1.0, 26.0: 1.0, 83.0: 1.0}"
0.8745,"{821478.0: 1.0, 1.0: 152471.0, 9.0: 161.0, 2.0: 5804.0, 4.0: 1906.0, 3.0: 1144.0, 12.0: 3.0, 7.0: 22.0, 5.0: 151.0, 6.0: 54.0, 8.0: 17.0, 14.0: 1.0, 13.0: 4.0, 11.0: 7.0, 22.0: 1.0, 17.0: 1.0, 10.0: 2.0, 15.0: 2.0, 36.0: 1.0, 18.0: 1.0, 19.0: 2.0, 27.0: 1.0, 23.0: 1.0, 33.0: 1.0, 21.0: 1.0, 26.0: 1.0, 24.0: 1.0, 39.0: 1.0, 16.0: 1.0}"
0.8745,"{803814.0: 1.0, 2.0: 6428.0, 1.0: 167358.0, 4.0: 1951.0, 19.0: 4.0, 3.0: 1383.0, 6.0: 77.0, 9.0: 158.0, 5.0: 161.0, 7.0: 23.0, 8.0: 12.0, 11.0: 4.0, 10.0: 9.0, 12.0: 2.0, 14.0: 2.0, 13.0: 4.0, 23.0: 2.0, 41.0: 1.0, 32.0: 1.0, 39.0: 1.0, 18.0: 2.0, 26.0: 1.0, 22.0: 1.0, 46.0: 1.0, 119.0: 1.0, 31.0: 1.0, 16.0: 2.0, 21.0: 1.0, 33.0: 1.0, 15.0: 2.0, 24.0: 1.0, 81.0: 1.0, 70.0: 1.0, 30.0: 1.0}"
0.8745,"{821239.0: 1.0, 1.0: 152577.0, 9.0: 162.0, 2.0: 5825.0, 4.0: 1898.0, 3.0: 1122.0, 7.0: 35.0, 6.0: 75.0, 5.0: 139.0, 11.0: 10.0, 8.0: 17.0, 12.0: 2.0, 15.0: 2.0, 14.0: 1.0, 10.0: 7.0, 13.0: 2.0, 20.0: 1.0, 36.0: 1.0, 17.0: 2.0, 18.0: 2.0, 26.0: 1.0, 21.0: 1.0, 31.0: 1.0, 22.0: 1.0, 25.0: 1.0, 24.0: 1.0, 43.0: 1.0}"
0.8745,"{821665.0: 1.0, 1.0: 152065.0, 9.0: 157.0, 2.0: 5894.0, 4.0: 1864.0, 3.0: 1136.0, 5.0: 133.0, 11.0: 9.0, 6.0: 60.0, 10.0: 10.0, 13.0: 4.0, 14.0: 2.0, 7.0: 25.0, 8.0: 11.0, 32.0: 1.0, 12.0: 7.0, 18.0: 1.0, 17.0: 3.0, 15.0: 1.0, 28.0: 2.0, 82.0: 1.0, 27.0: 3.0, 31.0: 1.0, 99.0: 1.0, 40.0: 1.0, 19.0: 1.0, 30.0: 1.0}"
0.8745,"{821073.0: 1.0, 1.0: 152700.0, 9.0: 165.0, 2.0: 5825.0, 4.0: 1886.0, 3.0: 1135.0, 7.0: 38.0, 8.0: 18.0, 5.0: 147.0, 6.0: 60.0, 10.0: 5.0, 11.0: 7.0, 17.0: 3.0, 12.0: 6.0, 14.0: 2.0, 20.0: 2.0, 25.0: 2.0, 15.0: 2.0, 13.0: 2.0, 29.0: 1.0, 35.0: 1.0, 55.0: 1.0, 27.0: 1.0, 23.0: 2.0, 22.0: 1.0}"
0.8745,"{803797.0: 1.0, 2.0: 6455.0, 1.0: 167090.0, 4.0: 1955.0, 17.0: 3.0, 3.0: 1378.0, 6.0: 65.0, 9.0: 166.0, 5.0: 160.0, 24.0: 1.0, 13.0: 2.0, 8.0: 16.0, 23.0: 3.0, 7.0: 38.0, 19.0: 1.0, 11.0: 8.0, 15.0: 2.0, 25.0: 1.0, 45.0: 1.0, 14.0: 3.0, 35.0: 1.0, 61.0: 1.0, 12.0: 3.0, 42.0: 1.0, 10.0: 7.0, 21.0: 3.0, 53.0: 1.0, 109.0: 1.0, 18.0: 2.0, 20.0: 1.0, 79.0: 1.0, 31.0: 1.0, 71.0: 1.0, 16.0: 1.0, 30.0: 1.0}"
0.8745,"{821191.0: 1.0, 1.0: 152545.0, 9.0: 166.0, 2.0: 5865.0, 4.0: 1875.0, 3.0: 1140.0, 7.0: 30.0, 6.0: 74.0, 5.0: 149.0, 19.0: 1.0, 12.0: 5.0, 15.0: 4.0, 8.0: 17.0, 10.0: 5.0, 63.0: 1.0, 13.0: 2.0, 22.0: 2.0, 37.0: 1.0, 14.0: 1.0, 16.0: 1.0, 62.0: 1.0, 26.0: 1.0, 27.0: 2.0, 32.0: 1.0, 11.0: 2.0}"
0.8745,"{821282.0: 1.0, 1.0: 152362.0, 9.0: 161.0, 2.0: 5919.0, 4.0: 1896.0, 3.0: 1146.0, 7.0: 26.0, 6.0: 65.0, 5.0: 144.0, 14.0: 2.0, 16.0: 2.0, 11.0: 7.0, 8.0: 15.0, 10.0: 6.0, 69.0: 1.0, 13.0: 3.0, 25.0: 3.0, 12.0: 3.0, 24.0: 1.0, 37.0: 1.0, 17.0: 2.0, 21.0: 1.0, 28.0: 1.0, 23.0: 1.0, 34.0: 1.0, 18.0: 1.0}"
0.8745,"{804255.0: 1.0, 2.0: 6407.0, 1.0: 167091.0, 4.0: 1928.0, 16.0: 1.0, 3.0: 1346.0, 9.0: 163.0, 10.0: 13.0, 5.0: 171.0, 6.0: 59.0, 8.0: 17.0, 23.0: 1.0, 26.0: 1.0, 7.0: 33.0, 24.0: 2.0, 17.0: 5.0, 14.0: 3.0, 12.0: 3.0, 25.0: 1.0, 15.0: 4.0, 34.0: 1.0, 11.0: 4.0, 13.0: 4.0, 32.0: 1.0, 20.0: 2.0, 28.0: 1.0, 50.0: 1.0, 109.0: 1.0, 18.0: 2.0, 19.0: 1.0, 81.0: 1.0, 31.0: 1.0}"
0.8745,"{821395.0: 1.0, 1.0: 152211.0, 9.0: 168.0, 2.0: 5887.0, 4.0: 1896.0, 3.0: 1162.0, 7.0: 24.0, 5.0: 135.0, 6.0: 66.0, 19.0: 1.0, 12.0: 5.0, 8.0: 23.0, 10.0: 5.0, 18.0: 3.0, 13.0: 3.0, 11.0: 5.0, 15.0: 2.0, 42.0: 1.0, 24.0: 1.0, 26.0: 1.0, 38.0: 1.0, 20.0: 2.0, 14.0: 1.0, 17.0: 1.0, 29.0: 1.0, 21.0: 1.0, 34.0: 1.0, 23.0: 1.0}"
0.8745,"{821746.0: 1.0, 1.0: 152063.0, 9.0: 166.0, 2.0: 5897.0, 4.0: 1895.0, 3.0: 1105.0, 5.0: 144.0, 6.0: 62.0, 7.0: 36.0, 11.0: 5.0, 8.0: 15.0, 21.0: 3.0, 41.0: 1.0, 17.0: 1.0, 36.0: 1.0, 12.0: 2.0, 10.0: 5.0, 13.0: 4.0, 18.0: 1.0, 25.0: 1.0, 26.0: 1.0, 15.0: 1.0, 16.0: 1.0, 31.0: 1.0, 14.0: 1.0, 39.0: 1.0, 22.0: 1.0}"
0.8745,"{804587.0: 1.0, 2.0: 6340.0, 1.0: 167293.0, 4.0: 1906.0, 15.0: 3.0, 3.0: 1329.0, 7.0: 20.0, 9.0: 161.0, 6.0: 66.0, 5.0: 163.0, 8.0: 24.0, 26.0: 2.0, 11.0: 5.0, 12.0: 3.0, 16.0: 2.0, 10.0: 9.0, 58.0: 1.0, 24.0: 1.0, 17.0: 2.0, 22.0: 1.0, 18.0: 4.0, 29.0: 1.0, 28.0: 1.0, 109.0: 1.0, 21.0: 2.0, 25.0: 1.0, 13.0: 3.0, 31.0: 1.0, 14.0: 1.0}"
0.8745,"{821681.0: 1.0, 1.0: 152262.0, 9.0: 165.0, 2.0: 5819.0, 4.0: 1870.0, 3.0: 1122.0, 5.0: 150.0, 6.0: 53.0, 8.0: 11.0, 21.0: 3.0, 7.0: 38.0, 17.0: 1.0, 18.0: 1.0, 10.0: 9.0, 33.0: 1.0, 14.0: 2.0, 11.0: 5.0, 12.0: 2.0, 24.0: 1.0, 23.0: 1.0, 69.0: 1.0, 49.0: 1.0, 13.0: 2.0, 37.0: 1.0, 19.0: 1.0, 45.0: 1.0, 15.0: 2.0, 16.0: 1.0}"
0.8745,"{821185.0: 1.0, 1.0: 152535.0, 9.0: 164.0, 2.0: 5939.0, 4.0: 1860.0, 3.0: 1136.0, 7.0: 31.0, 5.0: 158.0, 6.0: 62.0, 21.0: 2.0, 8.0: 9.0, 11.0: 7.0, 14.0: 2.0, 10.0: 5.0, 45.0: 1.0, 15.0: 1.0, 12.0: 4.0, 13.0: 5.0, 30.0: 1.0, 35.0: 1.0, 55.0: 1.0, 16.0: 1.0, 23.0: 2.0, 31.0: 1.0, 26.0: 1.0, 18.0: 1.0}"
0.8745,"{821787.0: 1.0, 1.0: 151972.0, 9.0: 163.0, 2.0: 5900.0, 4.0: 1835.0, 3.0: 1180.0, 5.0: 118.0, 6.0: 65.0, 10.0: 4.0, 8.0: 16.0, 7.0: 28.0, 15.0: 1.0, 11.0: 9.0, 30.0: 1.0, 12.0: 2.0, 134.0: 1.0, 17.0: 2.0, 24.0: 1.0, 20.0: 1.0, 28.0: 1.0, 61.0: 1.0, 51.0: 1.0, 14.0: 1.0, 13.0: 4.0, 38.0: 1.0, 16.0: 1.0, 22.0: 2.0, 66.0: 1.0}"
0.8745,"{803981.0: 1.0, 4.0: 1889.0, 1.0: 167818.0, 3.0: 1266.0, 2.0: 6469.0, 5.0: 153.0, 9.0: 165.0, 7.0: 35.0, 6.0: 61.0, 12.0: 6.0, 17.0: 2.0, 8.0: 15.0, 22.0: 1.0, 10.0: 4.0, 14.0: 2.0, 15.0: 1.0, 11.0: 3.0, 18.0: 1.0, 20.0: 2.0, 13.0: 3.0, 44.0: 1.0, 25.0: 1.0, 29.0: 2.0, 50.0: 2.0, 120.0: 1.0, 23.0: 1.0, 27.0: 1.0, 90.0: 1.0, 46.0: 1.0, 21.0: 1.0, 33.0: 1.0}"
0.8745,"{803859.0: 1.0, 1.0: 167871.0, 4.0: 1904.0, 5.0: 156.0, 2.0: 6399.0, 3.0: 1233.0, 13.0: 4.0, 9.0: 170.0, 6.0: 60.0, 10.0: 11.0, 7.0: 41.0, 8.0: 19.0, 23.0: 1.0, 16.0: 1.0, 14.0: 1.0, 11.0: 3.0, 12.0: 3.0, 19.0: 1.0, 45.0: 2.0, 22.0: 1.0, 25.0: 1.0, 47.0: 1.0, 120.0: 1.0, 24.0: 1.0, 18.0: 2.0, 26.0: 1.0, 87.0: 1.0, 20.0: 3.0, 15.0: 1.0, 35.0: 1.0, 107.0: 1.0, 51.0: 1.0}"
0.8745,"{820669.0: 1.0, 1.0: 152791.0, 9.0: 164.0, 2.0: 5992.0, 4.0: 1897.0, 3.0: 1203.0, 5.0: 140.0, 7.0: 24.0, 10.0: 10.0, 30.0: 1.0, 6.0: 51.0, 8.0: 16.0, 16.0: 3.0, 61.0: 1.0, 11.0: 7.0, 14.0: 2.0, 17.0: 3.0, 12.0: 3.0, 38.0: 1.0, 13.0: 1.0, 55.0: 1.0, 25.0: 1.0, 19.0: 1.0}"
0.8745,"{820762.0: 1.0, 1.0: 152719.0, 9.0: 163.0, 2.0: 6019.0, 4.0: 1884.0, 6.0: 70.0, 3.0: 1188.0, 5.0: 118.0, 10.0: 3.0, 19.0: 2.0, 7.0: 32.0, 11.0: 5.0, 13.0: 2.0, 8.0: 15.0, 59.0: 1.0, 15.0: 1.0, 12.0: 2.0, 41.0: 1.0, 17.0: 2.0, 23.0: 1.0, 76.0: 1.0, 18.0: 1.0, 52.0: 1.0, 21.0: 1.0, 14.0: 2.0, 20.0: 1.0}"
0.8745,"{820985.0: 1.0, 1.0: 152571.0, 9.0: 171.0, 2.0: 5961.0, 4.0: 1906.0, 3.0: 1149.0, 7.0: 30.0, 6.0: 54.0, 5.0: 140.0, 18.0: 2.0, 8.0: 24.0, 11.0: 4.0, 10.0: 4.0, 59.0: 1.0, 15.0: 1.0, 12.0: 1.0, 16.0: 2.0, 39.0: 1.0, 17.0: 2.0, 13.0: 1.0, 19.0: 1.0, 32.0: 1.0, 54.0: 1.0, 21.0: 1.0, 14.0: 1.0, 22.0: 1.0}"
0.8745,"{804283.0: 1.0, 1.0: 167308.0, 4.0: 1921.0, 2.0: 6372.0, 3.0: 1291.0, 8.0: 12.0, 9.0: 168.0, 5.0: 171.0, 6.0: 75.0, 11.0: 7.0, 14.0: 2.0, 10.0: 7.0, 7.0: 29.0, 51.0: 1.0, 12.0: 5.0, 20.0: 2.0, 29.0: 1.0, 13.0: 6.0, 28.0: 1.0, 25.0: 2.0, 27.0: 1.0, 23.0: 2.0, 22.0: 2.0, 43.0: 1.0, 42.0: 2.0, 15.0: 2.0, 53.0: 1.0, 16.0: 1.0, 106.0: 1.0, 32.0: 1.0}"
0.8745,"{821175.0: 1.0, 1.0: 152560.0, 9.0: 171.0, 2.0: 5753.0, 4.0: 1953.0, 3.0: 1167.0, 7.0: 25.0, 5.0: 125.0, 6.0: 54.0, 14.0: 2.0, 10.0: 10.0, 12.0: 3.0, 57.0: 1.0, 16.0: 1.0, 8.0: 15.0, 24.0: 1.0, 11.0: 6.0, 19.0: 3.0, 20.0: 1.0, 38.0: 2.0, 18.0: 2.0, 15.0: 3.0, 22.0: 1.0, 54.0: 1.0, 26.0: 1.0}"
0.8745,"{804108.0: 1.0, 1.0: 167565.0, 2.0: 6462.0, 3.0: 1260.0, 4.0: 1899.0, 9.0: 168.0, 5.0: 120.0, 10.0: 12.0, 7.0: 36.0, 6.0: 90.0, 11.0: 2.0, 8.0: 10.0, 12.0: 4.0, 27.0: 3.0, 14.0: 2.0, 25.0: 2.0, 18.0: 2.0, 15.0: 3.0, 29.0: 1.0, 21.0: 1.0, 20.0: 1.0, 47.0: 1.0, 44.0: 1.0, 17.0: 1.0, 40.0: 1.0, 22.0: 2.0, 13.0: 2.0, 111.0: 1.0, 36.0: 1.0, 80.0: 1.0, 68.0: 1.0, 30.0: 1.0}"
0.8745,"{821291.0: 1.0, 1.0: 152186.0, 9.0: 168.0, 2.0: 5944.0, 4.0: 1922.0, 3.0: 1157.0, 5.0: 163.0, 8.0: 17.0, 6.0: 62.0, 7.0: 24.0, 42.0: 1.0, 10.0: 3.0, 24.0: 1.0, 14.0: 1.0, 32.0: 1.0, 36.0: 1.0, 21.0: 4.0, 13.0: 2.0, 15.0: 1.0, 22.0: 1.0, 43.0: 1.0, 18.0: 1.0, 11.0: 2.0, 17.0: 1.0, 28.0: 1.0, 20.0: 1.0}"
0.8745,"{821388.0: 1.0, 1.0: 152063.0, 9.0: 162.0, 2.0: 5954.0, 4.0: 1909.0, 3.0: 1156.0, 5.0: 150.0, 6.0: 63.0, 7.0: 28.0, 10.0: 6.0, 42.0: 1.0, 15.0: 1.0, 8.0: 12.0, 34.0: 1.0, 24.0: 1.0, 31.0: 1.0, 37.0: 1.0, 19.0: 2.0, 14.0: 3.0, 17.0: 3.0, 11.0: 3.0, 13.0: 1.0, 16.0: 2.0, 12.0: 5.0, 23.0: 1.0, 44.0: 1.0, 26.0: 1.0, 32.0: 1.0, 22.0: 1.0}"
0.8745,"{821642.0: 1.0, 1.0: 151813.0, 9.0: 163.0, 2.0: 5865.0, 4.0: 1922.0, 3.0: 1125.0, 5.0: 155.0, 45.0: 1.0, 6.0: 61.0, 7.0: 19.0, 10.0: 6.0, 36.0: 1.0, 8.0: 17.0, 13.0: 5.0, 14.0: 1.0, 16.0: 2.0, 11.0: 6.0, 27.0: 1.0, 12.0: 5.0, 77.0: 1.0, 35.0: 2.0, 21.0: 1.0, 26.0: 2.0, 41.0: 1.0, 109.0: 1.0, 19.0: 1.0, 30.0: 1.0, 17.0: 1.0, 34.0: 1.0}"
0.8745,"{821559.0: 1.0, 1.0: 152053.0, 9.0: 163.0, 2.0: 5893.0, 4.0: 1911.0, 3.0: 1151.0, 5.0: 148.0, 7.0: 22.0, 6.0: 68.0, 44.0: 1.0, 41.0: 1.0, 11.0: 3.0, 38.0: 1.0, 31.0: 1.0, 8.0: 17.0, 36.0: 1.0, 10.0: 7.0, 20.0: 1.0, 25.0: 1.0, 12.0: 3.0, 14.0: 1.0, 27.0: 1.0, 18.0: 1.0, 13.0: 3.0, 52.0: 1.0, 15.0: 1.0, 21.0: 1.0, 17.0: 1.0, 23.0: 1.0}"
0.8745,"{821693.0: 1.0, 1.0: 152163.0, 9.0: 160.0, 2.0: 5837.0, 4.0: 1883.0, 3.0: 1208.0, 6.0: 56.0, 46.0: 1.0, 5.0: 163.0, 13.0: 3.0, 7.0: 21.0, 41.0: 1.0, 38.0: 1.0, 12.0: 3.0, 8.0: 8.0, 45.0: 1.0, 35.0: 1.0, 11.0: 2.0, 10.0: 4.0, 18.0: 1.0, 28.0: 1.0, 32.0: 1.0, 31.0: 1.0, 15.0: 2.0, 14.0: 1.0, 17.0: 1.0}"
0.8745,"{803811.0: 1.0, 1.0: 167640.0, 2.0: 6490.0, 4.0: 1903.0, 3.0: 1242.0, 9.0: 167.0, 5.0: 152.0, 14.0: 7.0, 7.0: 36.0, 10.0: 10.0, 6.0: 73.0, 11.0: 1.0, 8.0: 21.0, 13.0: 2.0, 24.0: 1.0, 16.0: 2.0, 12.0: 4.0, 18.0: 1.0, 26.0: 2.0, 17.0: 4.0, 27.0: 1.0, 50.0: 1.0, 130.0: 1.0, 21.0: 1.0, 15.0: 1.0, 19.0: 1.0, 44.0: 1.0, 20.0: 1.0, 137.0: 1.0, 34.0: 1.0, 83.0: 1.0, 53.0: 1.0}"
