lambda,size_counts
0.873,"{809963.0: 1.0, 1.0: 162287.0, 2.0: 6297.0, 4.0: 1868.0, 6.0: 67.0, 3.0: 1191.0, 9.0: 179.0, 5.0: 152.0, 59.0: 1.0, 7.0: 39.0, 8.0: 23.0, 51.0: 1.0, 10.0: 6.0, 81.0: 1.0, 23.0: 1.0, 11.0: 6.0, 22.0: 1.0, 17.0: 1.0, 12.0: 2.0, 24.0: 1.0, 74.0: 1.0, 16.0: 1.0, 39.0: 2.0, 15.0: 2.0, 13.0: 1.0, 19.0: 1.0, 14.0: 2.0, 21.0: 2.0, 33.0: 1.0, 121.0: 1.0}"
0.873,"{810238.0: 1.0, 1.0: 161878.0, 4.0: 1932.0, 2.0: 6261.0, 3.0: 1226.0, 6.0: 73.0, 9.0: 185.0, 10.0: 6.0, 7.0: 30.0, 5.0: 149.0, 79.0: 1.0, 14.0: 3.0, 8.0: 18.0, 18.0: 3.0, 12.0: 3.0, 35.0: 1.0, 24.0: 2.0, 11.0: 3.0, 13.0: 3.0, 22.0: 1.0, 19.0: 2.0, 151.0: 1.0, 15.0: 2.0, 17.0: 1.0, 16.0: 1.0, 27.0: 2.0}"
0.873,"{800529.0: 1.0, 1.0: 170378.0, 4.0: 1974.0, 2.0: 6657.0, 9.0: 162.0, 3.0: 1233.0, 107.0: 1.0, 24.0: 2.0, 6.0: 68.0, 5.0: 195.0, 8.0: 12.0, 7.0: 33.0, 31.0: 1.0, 10.0: 7.0, 18.0: 1.0, 30.0: 1.0, 76.0: 1.0, 16.0: 4.0, 39.0: 1.0, 11.0: 3.0, 92.0: 1.0, 12.0: 5.0, 19.0: 2.0, 14.0: 3.0, 40.0: 1.0, 69.0: 1.0, 15.0: 1.0, 75.0: 1.0, 36.0: 1.0, 33.0: 1.0}"
0.873,"{810182.0: 1.0, 1.0: 161916.0, 4.0: 1923.0, 2.0: 6185.0, 3.0: 1234.0, 6.0: 75.0, 9.0: 178.0, 49.0: 1.0, 5.0: 169.0, 8.0: 22.0, 7.0: 24.0, 80.0: 1.0, 13.0: 4.0, 12.0: 3.0, 16.0: 1.0, 14.0: 4.0, 33.0: 1.0, 22.0: 1.0, 10.0: 8.0, 21.0: 1.0, 11.0: 4.0, 25.0: 1.0, 18.0: 2.0, 19.0: 3.0, 31.0: 1.0, 150.0: 1.0, 17.0: 2.0, 34.0: 1.0, 15.0: 1.0, 26.0: 1.0}"
0.873,"{817899.0: 1.0, 4.0: 1910.0, 1.0: 155222.0, 3.0: 1193.0, 2.0: 6061.0, 10.0: 5.0, 9.0: 177.0, 5.0: 128.0, 6.0: 62.0, 8.0: 17.0, 7.0: 21.0, 14.0: 3.0, 23.0: 2.0, 138.0: 1.0, 12.0: 4.0, 13.0: 5.0, 21.0: 2.0, 15.0: 2.0, 26.0: 1.0, 41.0: 2.0, 29.0: 1.0, 11.0: 1.0, 24.0: 1.0, 17.0: 1.0}"
0.873,"{800833.0: 1.0, 1.0: 170330.0, 4.0: 1960.0, 2.0: 6622.0, 9.0: 158.0, 3.0: 1237.0, 105.0: 1.0, 5.0: 184.0, 10.0: 14.0, 6.0: 74.0, 7.0: 37.0, 8.0: 16.0, 29.0: 1.0, 11.0: 3.0, 15.0: 3.0, 36.0: 3.0, 97.0: 1.0, 14.0: 1.0, 21.0: 1.0, 12.0: 3.0, 59.0: 2.0, 13.0: 4.0, 33.0: 1.0, 22.0: 1.0, 16.0: 1.0}"
0.873,"{810675.0: 1.0, 1.0: 161797.0, 2.0: 6235.0, 4.0: 1933.0, 3.0: 1197.0, 9.0: 183.0, 5.0: 152.0, 49.0: 1.0, 6.0: 63.0, 80.0: 1.0, 8.0: 19.0, 11.0: 4.0, 18.0: 2.0, 7.0: 30.0, 17.0: 2.0, 15.0: 1.0, 10.0: 10.0, 12.0: 2.0, 22.0: 1.0, 14.0: 2.0, 31.0: 1.0, 21.0: 1.0, 27.0: 1.0, 19.0: 1.0, 20.0: 1.0, 13.0: 1.0, 25.0: 1.0}"
0.873,"{818132.0: 1.0, 5.0: 152.0, 1.0: 155254.0, 4.0: 1912.0, 2.0: 5929.0, 3.0: 1152.0, 6.0: 62.0, 7.0: 21.0, 9.0: 172.0, 8.0: 17.0, 13.0: 6.0, 14.0: 3.0, 21.0: 1.0, 12.0: 1.0, 136.0: 1.0, 11.0: 4.0, 19.0: 1.0, 10.0: 6.0, 16.0: 3.0, 20.0: 1.0, 26.0: 1.0, 42.0: 1.0, 36.0: 1.0, 24.0: 1.0, 23.0: 1.0, 15.0: 1.0, 43.0: 1.0}"
0.873,"{810725.0: 1.0, 1.0: 161813.0, 4.0: 1887.0, 2.0: 6292.0, 3.0: 1234.0, 7.0: 34.0, 5.0: 145.0, 9.0: 181.0, 50.0: 1.0, 6.0: 49.0, 11.0: 8.0, 8.0: 15.0, 14.0: 3.0, 15.0: 1.0, 16.0: 3.0, 17.0: 2.0, 12.0: 3.0, 20.0: 1.0, 10.0: 5.0, 26.0: 2.0, 22.0: 2.0, 13.0: 4.0, 21.0: 1.0, 19.0: 1.0, 27.0: 1.0, 24.0: 1.0}"
0.873,"{810111.0: 1.0, 1.0: 161847.0, 4.0: 1893.0, 2.0: 6248.0, 5.0: 157.0, 3.0: 1173.0, 6.0: 65.0, 9.0: 186.0, 8.0: 26.0, 7.0: 40.0, 12.0: 6.0, 19.0: 1.0, 11.0: 7.0, 117.0: 1.0, 22.0: 1.0, 15.0: 2.0, 10.0: 5.0, 33.0: 1.0, 20.0: 1.0, 40.0: 1.0, 16.0: 1.0, 71.0: 1.0, 97.0: 1.0, 183.0: 1.0, 14.0: 3.0, 13.0: 2.0, 26.0: 2.0, 17.0: 1.0, 18.0: 1.0, 37.0: 1.0, 55.0: 1.0, 24.0: 1.0}"
