lambda,second_max_cluster_size,Size,norm
0.8546999999999995,3367.23875,400,0.0210452421875
0.8547999999999994,3544.7124,400,0.022154452499999998
0.8548999999999994,3708.18085,400,0.0231761303125
0.8549999999999994,3742.90905,400,0.0233931815625
0.8550999999999994,3755.4255,400,0.023471409375
0.8551999999999994,3799.7012,400,0.0237481325
0.8552999999999994,3936.5793,400,0.024603620625
0.8553999999999994,4131.67585,400,0.025822974062499997
0.8554999999999994,4110.5318,400,0.025690823749999998
0.8555999999999994,4530.0289,400,0.028312680625000003
0.8556999999999994,4857.59635,400,0.030359977187499998
0.8557999999999993,4924.1202,400,0.03077575125
0.8558999999999993,5062.0985,400,0.031638115625
0.8559999999999993,5007.4539,400,0.031296586875000004
0.8560999999999993,5061.19285,400,0.0316324553125
0.8561999999999993,5148.83045,400,0.0321801903125
0.8562999999999993,5363.4665,400,0.033521665625
0.8563999999999993,5536.6665,400,0.034604165625
0.8564999999999993,5581.1716,400,0.0348823225
0.8565999999999993,5697.3294,400,0.03560830875
0.8566999999999992,5911.6821,400,0.036948013125
0.8567999999999992,6038.83855,400,0.037742740937500005
0.8568999999999992,6104.20155,400,0.0381512596875
0.8569999999999992,6142.12195,400,0.0383882621875
0.8570999999999992,6135.8542,400,0.038349088749999996
0.8571999999999992,6323.3001,400,0.039520625625
0.8572999999999992,6352.11125,400,0.0397006953125
0.8573999999999992,6399.84125,400,0.0399990078125
0.8574999999999992,6589.555,400,0.04118471875
0.8575999999999991,6719.3725,400,0.041996078125
0.8576999999999991,6632.19305,400,0.0414512065625
0.8577999999999991,6760.8392,400,0.042255245000000004
0.8578999999999991,6655.9734,400,0.04159983375
0.8579999999999991,6767.47705,400,0.0422967315625
0.8580999999999991,6841.25335,400,0.0427578334375
0.8581999999999991,6889.9254,400,0.04306203375
0.8582999999999991,7045.3267,400,0.044033291875
0.858399999999999,6994.5037,400,0.043715648125
0.858499999999999,7014.23975,400,0.0438389984375
0.858599999999999,6903.1755,400,0.043144846875000004
0.858699999999999,7181.9588,400,0.0448872425
0.858799999999999,7362.21395,400,0.046013837187500004
0.858899999999999,7380.80945,400,0.0461300590625
0.858999999999999,7651.7573,400,0.047823483125
0.859099999999999,7603.0625,400,0.047519140625
0.859199999999999,7664.32015,400,0.047902000937499994
0.859299999999999,7596.12875,400,0.0474758046875
0.8593999999999989,7832.13465,400,0.0489508415625
0.8594999999999989,7950.97795,400,0.0496936121875
0.8595999999999989,8250.17215,400,0.0515635759375
0.8596999999999989,8585.9549,400,0.053662218125
0.8597999999999989,8744.81525,400,0.0546550953125
0.8598999999999989,8688.6255,400,0.054303909375
0.8599999999999989,8951.46825,400,0.0559466765625
0.8600999999999989,8889.94735,400,0.0555621709375
0.8601999999999989,8934.94925,400,0.055843432812499996
0.8602999999999988,8801.85465,400,0.0550115915625
0.8603999999999988,8345.143,400,0.05215714375
0.8604999999999988,7782.5893,400,0.048641183125
0.8605999999999988,7136.74915,400,0.044604682187499994
0.8606999999999988,6080.76305,400,0.0380047690625
0.8607999999999988,5670.7042,400,0.03544190125
0.8608999999999988,5664.28255,400,0.035401765937499996
0.8609999999999988,5882.71145,400,0.0367669465625
0.8610999999999988,5055.21735,400,0.0315951084375
0.8611999999999987,4066.72105,400,0.0254170065625
0.8612999999999987,3566.107,400,0.02228816875
0.8613999999999987,2594.0682,400,0.016212926250000002
0.8614999999999987,2431.11695,400,0.015194480937500001
0.8615999999999987,2413.92665,400,0.015087041562499999
0.8616999999999987,2347.78345,400,0.0146736465625
0.8617999999999987,2074.5789,400,0.012966118125
0.8618999999999987,1818.8689,400,0.011367930625
0.8619999999999987,1643.65795,400,0.0102728621875
0.8620999999999986,1388.43415,400,0.0086777134375
0.8621999999999986,1203.99485,400,0.0075249678125
0.8622999999999986,1101.92525,400,0.0068870328125
0.8623999999999986,1131.45435,400,0.0070715896875
0.8624999999999986,1090.0865,400,0.006813040624999999
0.8625999999999986,771.84625,400,0.0048240390625
0.8626999999999986,788.0993,400,0.004925620625
0.8627999999999986,741.8434,400,0.00463652125
0.8628999999999986,746.55795,400,0.0046659871875
