lambda,Size,second_max_cluster_size
0.8603,1150.0,52908.3955326053
0.8603,1200.0,55712.175404402326
0.8603,1250.0,58487.25781234578
0.8603,1300.0,61423.6540821488
0.8603,1350.0,64041.51270698737
0.8603,1400.0,67174.85851231062
0.8603,1450.0,69665.83246157008
0.8605,100.0,372.172979346064
0.8605,150.0,938.8356782306158
0.8605,200.0,1771.9603019201618
0.8605,250.0,2890.0260704792486
0.8605,300.0,4236.160548672007
0.8605,350.0,5862.049424113535
0.8605,400.0,7831.719520154966
0.8605,450.0,10019.794540305516
0.8605,500.0,12527.963812742126
0.8605,550.0,15266.58383912826
0.8605,600.0,18360.362805070647
0.8605,650.0,21773.521163756574
0.8605,700.0,25285.25450113713
0.8605,750.0,29086.594509803923
0.8605,800.0,33169.855494554664
0.8605,850.0,37306.2338093709
0.8605,900.0,41624.48791850916
0.8605,950.0,46412.91589901776
0.8605,1000.0,51230.14649825925
0.8605,1050.0,56163.7123148047
0.8605,1100.0,61302.00867466649
0.8605,1150.0,66505.25884347335
0.8605,1200.0,71972.5703903118
0.8605,1250.0,77437.32876776629
0.8605,1300.0,83123.57589175385
0.8605,1350.0,88869.22492620998
0.8605,1400.0,94448.10459228692
0.8605,1450.0,100220.5242776102
0.8607,100.0,331.81163478645345
0.8607,150.0,827.6072973798069
0.8607,200.0,1513.405542688704
0.8607,250.0,2340.6542719228523
0.8607,300.0,3414.846707797267
0.8607,350.0,4673.26877950953
0.8607,400.0,6109.607711946937
0.8607,450.0,7785.304278021382
0.8607,500.0,9819.459574132075
0.8607,550.0,11887.911678616929
0.8607,600.0,14221.129857345895
0.8607,650.0,16683.774603107762
0.8607,700.0,19368.37855935817
0.8607,750.0,22668.50025529406
0.8607,800.0,25661.527464140017
0.8607,850.0,28850.10842621727
0.8607,900.0,32373.71660226417
0.8607,950.0,36601.83963466294
0.8607,1000.0,40989.23703805217
0.8607,1050.0,44420.811246559184
0.8607,1100.0,49157.41410977913
0.8607,1150.0,54560.49631310882
0.8607,1200.0,59298.53205009334
0.8607,1250.0,64291.23973673268
0.8607,1300.0,69628.27312930058
0.8607,1350.0,76292.85821681496
0.8607,1400.0,81770.5842579824
0.8607,1450.0,87848.10316181653
0.861,100.0,320.6170624894728
0.861,150.0,750.6096440207808
0.861,200.0,1370.0497620852282
0.861,250.0,2201.656005558656
0.861,300.0,3107.112592576996
0.861,350.0,4220.739829437776
0.861,400.0,5540.405196692057
0.861,450.0,6938.782660651397
0.861,500.0,8594.140447574977
0.861,550.0,10296.833660583154
0.861,600.0,12465.493969687876
0.861,650.0,14578.682186170883
0.861,700.0,16926.5228140185
0.861,750.0,19291.97074336488
0.861,800.0,21547.76515797564
0.861,850.0,24737.96562107463
0.861,900.0,27586.384379215702
0.861,950.0,30558.75059943165
0.861,1000.0,33270.17227414066
0.861,1050.0,37072.0228246058
0.861,1100.0,40956.02609647459
0.861,1150.0,44332.8306828812
0.861,1200.0,47765.84173128437
0.861,1250.0,52788.75813001527
0.861,1300.0,57291.77012301652
0.861,1350.0,61554.76528306759
0.861,1400.0,65781.8740568048
0.861,1450.0,71358.67402221884
0.8625,100.0,159.82460009579805
0.8625,150.0,305.61050138176074
0.8625,200.0,485.4316161259929
0.8625,250.0,638.4906855184685
0.8625,300.0,800.9763327314744
0.8625,350.0,973.928233795492
0.8625,400.0,1114.536418716541
0.8625,450.0,1272.7346738958784
0.8625,500.0,1441.797653140727
0.8625,550.0,1590.123837298057
0.8625,600.0,1727.345974058789
0.8625,650.0,1874.922087287926
0.8625,700.0,2012.737022087998
0.8625,750.0,2189.335955914519
0.8625,800.0,2263.356649623883
0.8625,850.0,2429.6450234410654
0.8625,900.0,2545.550826850605
0.8625,950.0,2730.698622146898
0.8625,1000.0,2843.862033271719
0.8625,1050.0,2973.011442671207
0.8625,1100.0,3019.331979320532
0.8625,1150.0,3216.148839685687
0.8625,1200.0,3345.4809147290125
0.8625,1250.0,3467.693182375141
0.8625,1300.0,3575.9336944444444
0.8625,1350.0,3714.148039248076
0.8625,1400.0,3832.0785462162057
0.8625,1450.0,3915.954894167668
