Unnamed: 0,lambda,Size,max_cluster_size,second_max_cluster_size,third_max_cluster_size,fourth_max_cluster_size,fifth_max_cluster_size,lambda_group
58,0.855,630.0,7263.455136540962,5291.550965289587,4397.795338601581,3827.385315594679,3419.0135040512155,0.855
59,0.855,640.0,7171.833583358336,5238.438443844385,4336.607860786078,3774.979597959796,3378.2575257525755,0.855
60,0.855,650.0,7239.617923584717,5323.774154830966,4438.164932986598,3866.1712342468495,3460.1043208641727,0.855
61,0.855,660.0,7350.025712856428,5389.911955977989,4484.6698349174585,3909.034517258629,3497.121260630315,0.855
62,0.855,670.0,7466.26577973392,5490.234270281085,4562.539361808543,3985.370011003301,3573.684105231569,0.855
63,0.855,680.0,7530.339433943394,5522.027802780278,4595.183918391839,4025.701670167017,3614.302430243024,0.855
64,0.855,690.0,7581.182254676403,5570.642292687807,4631.08122436731,4069.297689306792,3663.879163749125,0.855
65,0.855,700.0,7552.672669067627,5597.761504601841,4692.6359543817525,4115.211184473789,3698.413165266106,0.855
66,0.855,710.0,7617.783478347835,5653.816281628163,4746.9618961896185,4167.889388938894,3749.700770077008,0.855
67,0.855,720.0,7695.625387616285,5693.114034210264,4768.388416524957,4203.698309492848,3793.181054316295,0.855
68,0.855,730.0,7612.110322064413,5636.337067413483,4753.27625525105,4192.664032806561,3795.368673734747,0.855
69,0.855,740.0,7733.08922676803,5780.302390717216,4855.03711113334,4268.824847454236,3843.605381614485,0.855
70,0.855,750.0,7656.394,5776.0025,4882.8482,4295.2585,3871.4661,0.855
71,0.855,760.0,7789.574472341703,5858.256076823047,4944.304791437431,4371.480244073222,3945.9507852355705,0.855
72,0.855,770.0,7788.514551455146,5871.136413641364,4969.616361636164,4396.219821982199,3977.624662466247,0.855
73,0.855,780.0,8071.970694138828,6029.717643528706,5076.939187837567,4492.7590518103625,4068.1990398079615,0.855
74,0.855,790.0,7929.309261852371,5954.750150030006,5053.683036607322,4484.2164432886575,4063.691738347669,0.855
75,0.855,800.0,8077.203761128339,6070.085025507652,5136.574472341703,4549.839951985596,4129.125837751325,0.855
76,0.855,810.0,8133.8183455036515,6122.164349304791,5195.641392417725,4610.216965089527,4183.8355506652,0.855
77,0.855,820.0,8019.6912,6094.2779,5175.3922,4582.1138,4157.2988,0.855
78,0.855,830.0,8089.823582358235,6138.402840284029,5206.220322032204,4613.509450945095,4184.927292729273,0.855
79,0.855,840.0,8198.908681736348,6249.161732346469,5315.734146829366,4733.24274854971,4300.81526305261,0.855
80,0.855,850.0,8294.74924984997,6313.532306461292,5387.391778355671,4791.260552110422,4359.74824964993,0.855
81,0.855,860.0,8360.157931586316,6329.842768553711,5423.935187037408,4817.312162432487,4381.830366073215,0.855
