lambda,max_cluster_size,second_max_cluster_size,third_max_cluster_size,fourth_max_cluster_size,fifth_max_cluster_size,largest_1_dimension,largest_1_dimension_std,largest_2_dimension,largest_2_dimension_std,largest_3_dimension,largest_3_dimension_std,largest_4_dimension,largest_4_dimension_std,largest_5_dimension,largest_5_dimension_std
0.8009999999999999,92.1482,78.6164,71.7764,67.1656,63.7098,,,,,,,,,,
0.8010999999999999,92.2445,79.1928,72.3988,67.7621,64.282,,,,,,,,,,
0.8011999999999999,92.592,78.9837,72.2801,67.7048,64.2259,,,,,,,,,,
0.8012999999999999,94.4292,79.8407,72.8137,68.1742,64.6078,,,,,,,,,,
0.8013999999999999,93.6161,79.5902,72.7261,68.015,64.4842,,,,,,,,,,
0.8014999999999999,93.3917,79.8223,73.0813,68.5262,65.0061,,,,,,,,,,
0.8015999999999999,94.2782,80.3992,73.4704,68.6804,65.0787,,,,,,,,,,
0.8016999999999999,94.5057,80.4357,73.5606,68.9367,65.4443,,,,,,,,,,
0.8017999999999998,95.312,80.7971,73.6473,68.8775,65.3138,,,,,,,,,,
0.8018999999999998,93.5645,79.8505,72.9762,68.3402,64.8869,,,,,,,,,,
0.8019999999999998,93.5996,80.6369,73.7609,69.0831,65.4695,,,,,,,,,,
0.8020999999999998,95.6828,81.5501,74.3945,69.5377,65.9415,,,,,,,,,,
0.8021999999999998,96.3228,82.0093,74.6418,69.8418,66.2447,,,,,,,,,,
0.8022999999999998,95.0423,81.174,74.163,69.4797,65.8054,,,,,,,,,,
0.8023999999999998,95.393,81.4552,74.3588,69.6848,66.0782,,,,,,,,,,
0.8024999999999998,95.8795,81.9095,74.8358,70.1492,66.5499,,,,,,,,,,
0.8025999999999998,96.3459,82.2199,75.1125,70.2176,66.5378,,,,,,,,,,
0.8026999999999997,95.8746,81.7146,74.7885,70.1047,66.4833,,,,,,,,,,
0.8027999999999997,97.0004,82.3972,75.2457,70.415,66.8087,,,,,,,,,,
0.8028999999999997,97.7277,82.9357,75.7128,70.8418,67.1557,,,,,,,,,,
0.8029999999999997,95.7943,81.9172,74.9723,70.2637,66.6306,,,,,,,,,,
0.8030999999999997,97.2971,83.0462,75.6747,70.8842,67.277,,,,,,,,,,
0.8031999999999997,96.3421,82.5662,75.7059,70.887,67.2566,,,,,,,,,,
0.8032999999999997,97.3598,83.2026,76.0406,71.1445,67.4719,,,,,,,,,,
0.8033999999999997,97.9813,83.0585,76.0545,71.3215,67.6998,,,,,,,,,,
0.8034999999999997,97.8432,83.6751,76.4655,71.6939,68.0689,,,,,,,,,,
0.8035999999999996,98.7916,84.1816,76.8263,72.0342,68.3693,,,,,,,,,,
0.8036999999999996,99.8073,84.9051,77.4079,72.4388,68.6727,,,,,,,,,,
0.8037999999999996,98.7351,84.2911,77.2626,72.42,68.74,,,,,,,,,,
