lambda,mean_M,mean_M2,avg_max_cluster_size,median_max_cluster_size,avg_second_max_cluster_size,max_key,chi
0.809399999999999,0.9874719710540772,0.9751009139569832,131.0168476190476,127.0,112.08702857142858,289.0,2.0339558814974623e-08
0.809499999999999,0.9867420151217778,0.9736598278329832,132.0699476190476,128.0,113.00612857142858,326.0,2.342639637831212e-08
0.809599999999999,0.987074522916476,0.9743161361695822,132.9989,129.0,113.83337142857144,304.0,2.23787934849895e-08
0.809699999999999,0.9866841825230916,0.9735457039092158,133.9659,130.0,114.65393333333331,292.0,2.786795416653831e-08
0.809799999999999,0.9869758214235306,0.9741212992367336,134.91066666666666,131.0,115.51283333333332,310.0,2.7162080695752877e-08
0.809899999999999,0.986632294090589,0.9734433082381766,135.8757761904762,131.0,116.34437142857143,312.0,2.4495718231598573e-08
0.8099999999999989,0.9865574471505484,0.973295623159162,136.7317380952381,132.0,117.12674285714286,361.0,2.663095488575351e-08
0.8100999999999989,0.9864902404578526,0.973163022010906,137.7767142857143,133.0,117.98613333333331,279.0,2.7492314091936976e-08
0.8101999999999989,0.9864432441473008,0.9730703005429736,138.8733333333333,134.0,118.88507619047618,299.0,2.661912235080166e-08
0.8102999999999989,0.9863937823692956,0.9729727195939276,139.8435761904762,135.0,119.71739523809524,281.0,2.5697122207901657e-08
0.8103999999999989,0.9863707275327046,0.9729272390062584,140.80562857142857,136.0,120.57635714285716,279.0,2.687286149161139e-08
0.8104999999999989,0.9861400623782476,0.9724722485057372,141.81480476190475,137.0,121.45713333333332,305.0,2.587836323009185e-08
0.8105999999999989,0.9862749573087692,0.9727383185179358,142.86286666666666,138.0,122.36791428571428,331.0,2.7103521205162906e-08
0.8106999999999989,0.9861971432797114,0.9725848354942064,143.90661904761905,139.0,123.2779523809524,286.0,3.008114268787665e-08
0.8107999999999989,0.986070657842954,0.9723353704712988,144.90734285714285,140.0,124.16485714285714,318.0,2.8212462699350738e-08
0.8108999999999988,0.9860368819236756,0.972268761638886,146.00367142857144,141.0,125.06602857142856,332.0,2.9125121536743848e-08
0.8109999999999988,0.985758281882604,0.9717194229674312,147.05155714285715,142.0,125.99434285714284,289.0,3.2667287874765805e-08
0.8110999999999988,0.9856173487520218,0.9714415884110708,148.2139761904762,144.0,127.00023333333333,346.0,3.025010619772672e-08
0.8111999999999988,0.9859157009919484,0.9720298014189372,149.30445714285713,145.0,127.9634,301.0,3.1956492341223e-08
0.8112999999999988,0.9850661713139216,0.9703553953216484,150.4298142857143,146.0,128.9492380952381,287.0,3.3454579995151335e-08
0.8113999999999988,0.9848230472278596,0.9698764766559076,151.69999047619046,147.0,130.0195,291.0,4.2304740599519164e-08
0.8114999999999988,0.9853136808808644,0.9708430844286816,152.9817476190476,148.0,131.1425380952381,336.0,3.4697683837237037e-08
0.8115999999999988,0.9845413291660944,0.969321670536916,154.26824761904763,149.0,132.26417142857142,362.0,4.170077616549861e-08
0.8116999999999988,0.9843618228387834,0.968968239680714,155.6792380952381,151.0,133.42113333333333,331.0,4.1418221630173946e-08
0.8117999999999987,0.9854638139533995,0.9711389602990996,157.01406666666668,152.0,134.57311904761906,394.0,3.168751916415857e-08
0.8118999999999987,0.9851662530374528,0.9705525850608048,158.34733333333332,153.0,135.68447142857144,376.0,3.893695033063693e-08
0.8119999999999987,0.9856695225731532,0.9715444421126844,159.63647142857144,155.0,136.83285238095235,363.0,3.4383096592094375e-08
0.8120999999999987,0.9840477223316828,0.968349968482569,161.0761,156.0,138.00149523809523,346.0,4.8656396356427933e-08
0.8121999999999987,0.9840974971008302,0.9684479341391216,162.28105714285715,157.0,139.07052857142858,319.0,5.033900307704897e-08
0.8122999999999987,0.9846481010611852,0.9695319202125317,163.48222380952382,158.0,140.14260476190475,439.0,3.728913378076015e-08
0.8123999999999987,0.9839754089021684,0.9682076523480097,164.7556238095238,160.0,141.2109142857143,339.0,4.702382017107709e-08
0.8124999999999987,0.9849520883576076,0.9701306571715084,166.07503809523809,161.0,142.3042904761905,345.0,4.0811495849446544e-08
0.8125999999999987,0.9844326054827373,0.969107600690006,167.29792857142857,162.0,143.36548095238095,353.0,4.595247538041747e-08
0.8126999999999986,0.9842162692276636,0.9686817114735076,168.46564285714285,163.0,144.38067619047618,362.0,4.6861086788752004e-08
0.8127999999999986,0.9839209812323252,0.9681005377216636,169.6743857142857,164.0,145.41852857142857,378.0,4.041248202746317e-08
0.8128999999999986,0.9837942492787044,0.9678511728513268,170.82318571428573,165.0,146.42962857142857,387.0,4.793747720999164e-08
0.8129999999999986,0.9836751801458996,0.9676169055137288,172.05312857142857,167.0,147.56449047619049,446.0,4.5478660726239184e-08
0.8130999999999986,0.9835871848122278,0.9674438064883044,173.21633333333332,168.0,148.58349047619046,401.0,5.6361460720744105e-08
0.8131999999999986,0.9835587767839432,0.9673879195396844,174.4133238095238,169.0,149.62606666666667,342.0,5.2150957774443896e-08
0.8132999999999986,0.9834562263663608,0.9671861986102678,175.84473809523809,170.0,150.8201380952381,386.0,4.943150511138583e-08
0.8133999999999986,0.983353687947591,0.966984529412895,177.1232,171.0,151.91441904761905,359.0,5.3812766798166933e-08
0.8134999999999986,0.9832596287520726,0.9667995499489054,178.3674761904762,173.0,152.98264285714285,426.0,5.241524170251921e-08
0.8135999999999985,0.9832122940158844,0.9667064729987888,179.47252857142857,174.0,154.0215761904762,427.0,5.789481083429138e-08
0.8136999999999985,0.9830944561068218,0.9664747665711608,180.79597142857145,175.0,155.11165714285715,381.0,5.694319304971884e-08
0.8137999999999985,0.982891410873731,0.9660755836639944,181.97934285714285,176.0,156.20873333333333,381.0,5.809464087569438e-08
