lambda,alpha,s_min,bootstrap-p-u,bootstrap-gof-u,bootstrap-p-r,bootstrap-gof-r,R (pl vs logn),p (pl vs logn),R (pl vs strexp),p (pl vs strexp),R (pl vs exp),p (pl vs exp),R (pl vs pltrc),p (pl vs pltrc)
0.8608999999999999,1.8349044405127213,159,0.3,0.0301075268817204,0.0,0.0463200602072877,0.0120699568953881,0.56347304838095,7.09803457275998,0.0634102328680434,1451.1422760181792,4.3171827830394063e-16,-0.0435246154533004,0.7679625087609835
0.8609999999999999,1.8451085075100893,162,0.89,0.0251337674461318,0.02,0.030252339789653,0.0124281762920706,0.6022718712423496,7.452360225230299,0.0578735974109874,1395.3651185236226,3.214371112291797e-15,-0.0300940313652029,0.8061989462727712
0.8610999999999999,1.8685110594521064,136,1.0,0.0205296240870726,0.2,0.0230196980972597,0.0214344481400186,0.3823813762055322,9.70800952344998,0.0428155967047211,1706.600980327046,1.1016119793636921e-17,-0.0037922323310093,0.9306009024166532
0.8611999999999999,1.8884545858005888,115,1.0,0.0169664906509543,0.03,0.0274926845336845,0.0272044895065306,0.3321088361561132,9.144771344882887,0.0430328798527986,1984.6794807911133,2.573457178769252e-19,0.0437512676241063,0.7673765035341658
0.8612999999999998,1.906806556822202,110,1.0,0.0174959889694948,0.0,0.0467156985819317,0.0311055857009323,0.2980150534429275,10.872274902838122,0.0352702530912889,2041.408880262765,4.369000522947783e-20,-5.337311066266892e-05,0.99175655793135
0.8613999999999998,1.9368411706718671,93,1.0,0.013819984203874,0.0,0.0306029530106203,0.0417530669268639,0.2271086607376102,13.600537270679322,0.0388494404269275,2290.0289245981235,8.748399259589093e-23,1.887211972473324e-06,0.9984498806853987
0.8614999999999998,1.9441009516603016,87,1.0,0.0134164494609797,0.0,0.0368675091661089,0.0425031185967554,0.2382634917308662,12.641301029655263,0.0345460061718566,2404.629664898933,2.432149258060689e-23,9.989192691683968e-06,0.9964336923217196
0.8615999999999998,1.951597129520508,87,0.0,0.0981595092024539,0.0,0.106,0.0376245562985451,0.2831988100099512,12.086048572232311,0.0467533885506946,2306.8385870133484,8.156179302338883e-20,8.207208305854863e-06,0.9967674027483092
0.8616999999999998,1.948302192317251,81,0.0,0.0990712074303405,0.0,0.09701571585572,0.0456230132719257,0.2225226382433482,15.280967828724576,0.0227971935637769,2536.298031978917,7.254722767035723e-24,2.0338405706255003e-06,0.998390788164649
0.8617999999999998,1.9628490151889129,79,1.0,0.0174900379580711,0.0,0.0350533735809652,0.0508597715104253,0.1913418575627939,15.01909164791926,0.0353372988792722,2550.796000252218,5.750155672492066e-25,6.00377673354302e-06,0.9972351825812972
0.8618999999999998,1.978218114231576,75,0.0,0.1021416803953871,0.0,0.093,0.0479523319606469,0.2243387425303294,14.363819403096365,0.0414435149624353,2516.863043996882,1.2682027239193934e-21,3.3959202294653323e-06,0.9979206226561688
0.8619999999999998,1.9794264982175476,66,1.0,0.0168674694111064,0.0,0.0344850241217578,0.0584160853242039,0.1788477373451746,16.58607866048797,0.030395611550564,2869.185701526829,4.207881341943583e-27,8.150812544016617e-06,0.9967785282151526
0.8620999999999998,1.9778543311129124,54,1.0,0.0180813019569184,0.0,0.04896943152354,0.0611401922461718,0.2270241403634882,19.43956032296031,0.024839574230874,3354.5863495796693,2.705962442363435e-28,6.557927870076696e-06,0.9971104020018636
0.8621999999999997,1.9975733922277927,52,0.0,0.1069418386491557,0.0,0.093,0.0709021324087442,0.1500554385537788,22.10722970008449,0.0137010934426473,3322.2835772595454,1.4210532139418374e-30,2.485864500023638e-06,0.9982209284053338
0.8622999999999997,1.994206117129199,50,0.0,0.1073446327683615,0.0,0.098,0.0688221190950475,0.1647491195899884,22.38850594979428,0.0152129347773303,3425.7038117380525,2.10255877129498e-30,1.8820775853356508e-06,0.9984519907619186
0.8623999999999997,1.9972577726731089,50,0.0,0.107750472589792,0.0,0.128,0.0666999825505629,0.17953339963208,21.303432054025635,0.0276490207565927,3405.8163565184764,1.3557448522876065e-30,1.4975608868983414e-05,0.9956333826530728
0.8624999999999997,1.9954628611320016,50,0.0,0.1073446327683615,0.0,0.097,0.0692696051359362,0.1633053487696193,23.89011556963643,0.0138598853993656,3408.105124162444,1.2739409528067696e-30,9.146799325776556e-05,0.989208634711916
0.8625999999999997,2.0207582982368377,40,1.0,0.0244366214384205,0.02,0.0293012781870501,0.0857461724776835,0.1290763379492617,29.98965941441853,0.0153289665605351,3837.5638812938473,9.88024304666631e-35,-1.9457998132743626e-06,0.9984260031592695
0.8626999999999997,2.004553640004392,34,0.0,0.0898058252427184,0.0,0.079,0.0936236016901559,0.1252673872636072,40.0462900904667,0.0108175029779337,4545.020206143432,1.0787148941289376e-40,1.984469816918022e-05,0.994973398743944
0.8627999999999997,2.0170811399768263,36,1.0,0.0264900662251655,0.0,0.038201803596403,0.0862887937263727,0.139942230467806,54.58597711745785,0.0072221798563979,4149.12598690237,5.268073785176266e-35,-1.393867449017705e-06,0.9986678117599028
0.87,2.4862368014880527,10,0.1284,0.0216437040754948,0.1284,0.0258685154789325,-2.2516275786833235,0.1655632205886051,-1.2256381464980972,0.7124523296787646,256.1529138266903,2.5078315319903667e-11,-5.012166468896121,0.0015448561507972
0.871,2.680945496140464,10,0.194,0.0231297757831694,0.048,0.0296067104625246,-1.3886661665998172,0.2652950740401809,-1.1424812366869803,0.6068664697986769,136.8869450897438,1.658078921224123e-08,-3.246303609838181,0.0108323993529827
0.872,2.78521725401094,10,0.3764,0.0211244017636855,0.2608,0.0215114507719535,-0.6929633585720536,0.4740054108503284,-0.0175570641031272,0.9938569303832312,119.7291289223279,0.0003618889593196,-1.2990828345034249,0.1069874789191179
0.873,2.71402185524592,11,0.5004,0.0209568242334731,0.0784,0.0277176576741722,-1.46614260713174,0.2606387448280338,-1.4504265814005652,0.4716436738526431,85.03650576441066,6.459918414573402e-06,-2.8475280794507274,0.0170127681374476
0.874,2.726191016356762,11,0.8504,0.0151951544622289,0.3324,0.0207673409743915,-0.9301743020968436,0.3647329996403491,-0.6687615186174947,0.7277053282015506,93.02582011835352,3.764337403361204e-06,-2.095714975931448,0.0406288137654463
0.8745,2.7619295028761446,11,0.6688,0.0186694994367239,0.0084,0.0370513078260124,-0.8923420520234897,0.3996543088065736,-0.6466609161325589,0.7369034143583955,87.16426312836545,0.0001066530870686,-1.6774288222547362,0.0670070041364289
0.8746,2.7857038604027986,11,0.8556,0.0159707641353075,0.1684,0.0242940540357731,-0.6963699140549489,0.4240270196334913,-0.4181307608294977,0.8099983044999945,76.91349616351215,6.294976530887038e-06,-1.7115265704529987,0.0642920063977835
0.8747,2.804419902075064,11,0.846,0.0160500989165897,0.2664,0.0219969445028095,-0.7545875093461705,0.4144050137041321,-0.4738291681830686,0.790574862090333,75.46305125194657,1.652261516196411e-05,-1.6679415249288612,0.0677840122781987
0.8748,2.8374743945704943,11,0.72,0.0188201179386622,0.1608,0.0243370199710717,-0.9975943595136908,0.3609527886121648,-0.8817469136499634,0.628711359276023,64.43193445863105,0.0001154992029694,-1.892149237950422,0.051735593119126
0.8749,2.797460513876296,11,0.8632,0.0163176856029947,0.1276,0.0254243132670839,-0.5229233593206506,0.5121052884172425,-0.0526186176550727,0.9770430606236972,80.64117848497146,8.601650912447446e-05,-1.1771047273036015,0.1249452112245597
0.87495,2.80481959683334,12,0.9144,0.0178267038806427,0.0432,0.0304149405297453,-0.6717338625628457,0.4926924391645505,-0.5571389613134499,0.7293001574893971,54.27044786537447,0.0084949721020232,-0.9863207466448598,0.1601677612881064
0.87497,2.8394111930173853,11,0.7216,0.0195024478167238,0.024,0.0331819428367959,-0.4490365059939645,0.5382615526193606,-0.0637573963895725,0.969222289008282,70.60597746899704,0.0001239321134453,-1.0467911509033725,0.1479188648065007
0.875,3.000542696278207,11,0.9624,0.0176240649628255,0.0032,0.0406866947566691,-0.4134701161835452,0.5413811994684206,-0.3130816723802527,0.7987067034515113,27.63071951603758,0.004701997677621,-0.8408414507399806,0.194700984513962
0.87503,2.9230797639264887,10,0.9532,0.0439364093816359,0.0,0.0510064412771315,-0.0424300160693655,0.8289070859431984,-0.0025718098199327,0.9959197591394612,5.169938298984334,0.1701479838637724,-0.1495186007525926,0.584486639389521
0.87505,3.0645968395937,11,0.9996,0.023270696899879,0.0984,0.025941569051289,-0.1479655439509202,0.7039784934392685,-0.1486196569667557,0.8043467628159721,5.894453603808672,0.1470288692390785,-0.2983885700686326,0.4398103418721512
0.8751,3.083988216005559,10,0.9212,0.0364076158403703,0.002,0.0418498852207065,-0.1163276590457822,0.7416969717715054,-0.1085148273353548,0.8599021533498276,6.73738311167934,0.1524396314962965,-0.2706715346362429,0.4618766474224481
0.8753,2.362934908686636,2,0.0,0.2216430699967181,0.0,0.2293821655938774,-48367.00585799983,0.0,-46753.49483809383,0.0,-43308.6042029238,0.0,-34327.30072204419,0.0
0.8755,3.18648286907902,11,1.0,0.0451841630673122,0.0,0.0602641171878934,-0.0291608328679984,0.8577364837147783,-0.0260640944356291,0.9268992025924928,1.3413809305909616,0.4346559913576145,-0.0692685854960075,0.7097396146249999
0.876,3.097489390080742,11,0.9988,0.0430949927100077,0.0048,0.0372592080136389,-0.1262503974834026,0.7086647974127458,-0.1520929926801304,0.6999009670958356,0.997262953739282,0.5439367844362915,-0.2287282956539587,0.4988150436049365
0.877,3.376561673166168,10,0.9876,0.0463185017604171,0.0104,0.0423465930941138,-0.2711809019301852,0.6016040817405071,-0.3139157463401141,0.5882146451592508,0.4127484943751827,0.7978941381803417,-0.3785956790056424,0.3842089116830218
0.878,3.108233893410828,10,0.9812,0.0455016534179004,0.0,0.0552587958219426,-0.0183414698068671,0.8880317273589605,0.0166371210501887,0.9646723559577626,3.499685432904742,0.2495120202940629,-0.0607228212808252,0.7274718320833073
0.879,3.0706306629901667,11,0.998,0.037881724987993,0.0032,0.0391603012846359,-0.0930235145225473,0.7611942990620659,-0.1050173308070265,0.7988179788894197,2.0544337925309777,0.3749091571412358,-0.1803570510147052,0.5481099087829182
0.88,2.702785198120516,11,0.994,0.0475516704212537,0.0008,0.0426057498104464,-0.0127252542756173,0.8934990532585685,0.035093813857316,0.922669104429001,4.421419215319962,0.1488581727897082,-0.0863340858999563,0.6777513243087137
0.89,5.582910665933544,4,0.0,0.435042657532164,0.0,0.4404164149874323,-17310.828327019073,0.0,475.2660970848372,1.4858360972618981e-07,18604.516886569178,0.0,-2209.454747355824,0.0
0.9,5.9841779803283535,4,0.0,0.4567470922782689,0.0,0.4594164149874323,-14428.75975250845,0.0,-140.03914811215617,0.2665288725146998,17586.302283892597,0.0,-3257.329627690889,0.0
