selected_lambda,box_size,avg_count,group
0.83,64.0,11.4256,0
0.83,30.0,32.4892,0
0.83,126.0,3.6476,0
0.83,45.0,19.0116,0
0.83,16.0,69.9512,0
0.83,140.0,2.9876,0
0.83,119.0,4.1088,0
0.83,37.0,24.746,0
0.83,90.0,6.7016,0
0.83,121.0,3.9408,0
0.83,76.0,8.7912,0
0.83,408.0,0.1656,0
0.83,97.0,5.852,0
0.83,14.0,82.302,0
0.83,129.0,3.4876,0
0.83,31.0,31.1168,0
0.83,297.0,0.4568,0
0.83,356.0,0.2436,0
0.83,68.0,10.396,0
0.83,75.0,8.89,0
0.83,164.0,2.088,0
0.83,57.0,13.6996,0
0.83,44.0,19.4936,0
0.83,40.0,22.3232,0
0.83,266.0,0.6348,0
0.83,112.0,4.524,0
0.83,137.0,3.0572,0
0.83,82.0,7.7736,0
0.83,32.0,29.9248,0
0.83,87.0,7.0068,0
0.83,47.0,17.9184,0
0.83,118.0,4.0952,0
0.83,237.0,0.9376,0
0.83,116.0,4.3072,0
0.83,60.0,12.584,0
0.83,53.0,15.1932,0
0.83,242.0,0.8312,0
0.83,308.0,0.4024,0
0.83,207.0,1.2388,0
0.83,148.0,2.6124,0
0.83,66.0,10.9656,0
0.83,105.0,5.0748,0
0.83,223.0,1.0416,0
0.83,564.0,0.044,0
0.83,183.0,1.6888,0
0.83,124.0,3.7556,0
0.83,267.0,0.6552,0
0.83,74.0,9.1628,0
0.83,127.0,3.5452,0
0.83,93.0,6.3092,0
0.83,72.0,9.5776,0
0.83,179.0,1.7984,0
0.83,86.0,7.2692,0
0.83,332.0,0.3192,0
0.83,62.0,11.9656,0
0.83,123.0,3.7952,0
0.83,175.0,1.7952,0
0.83,312.0,0.39,0
0.83,67.0,10.6696,0
0.83,219.0,1.0744,0
0.83,178.0,1.8004,0
0.83,133.0,3.2108,0
0.83,320.0,0.3736,0
0.83,101.0,5.4896,0
0.83,143.0,2.7992,0
0.83,61.0,12.184,0
0.83,740.0,0.008,0
0.83,110.0,4.6996,0
0.83,115.0,4.3044,0
0.83,80.0,8.1816,0
